"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"Nuf2","OK",0,196.077445237573,0.475866340103636,"Nuf2",0
"Uap1","OK",0,96.3696597413448,0.233862242869438,"Uap1",0
"Nos1ap","OK",0,52.8490471519826,0.128193595491466,"Nos1ap",0
"Olfml2b","OK",0,241.081694347739,0.58255606714433,"Olfml2b",0
"Fcgr2b","OK",0,126.532121985498,0.307076742316679,"Fcgr2b",0
"Fcgr4","OK",0,107.754385449721,0.260822344292483,"Fcgr4",0
"Fcgr3","OK",0,288.074841941168,0.699182793016416,"Fcgr3",0
"Sdhc","OK",0,51.2201283013052,0.124263853927025,"Sdhc",0
"Pcp4l1","OK",0,48.8664835404429,0.118531538117284,"Pcp4l1",0
"Fcer1g","OK",0,243.764190778274,0.591644262218097,"Fcer1g",0
"Ndufs2","OK",0,50.6517056199993,0.122873121102509,"Ndufs2",0
"Ppox","OK",0,47.5857068971862,0.115437475046138,"Ppox",0
"Ufc1","OK",0,68.3658620523152,0.165875840124469,"Ufc1",0
"Pfdn2","OK",0,71.7419362873545,0.174064578028447,"Pfdn2",0
"Arhgap30","OK",0,70.0923106568249,0.170075653593626,"Arhgap30",0
"F11r","OK",0,131.577856126424,0.319200202803517,"F11r",0
"Cd244","OK",0,100.742850663043,0.244389870617981,"Cd244",0
"Ly9","OK",0,43.1849165245833,0.104732157818478,"Ly9",0
"Slamf7","OK",0,282.20769394582,0.678963291421343,"Slamf7",0
"Cd48","OK",0,133.335630572588,0.323572968603638,"Cd48",0
"Slamf1","OK",0,118.314909331555,0.287114674519003,"Slamf1",0
"Cd84","OK",0,64.9292485069423,0.157542144906172,"Cd84",0
"Gm37065","OK",0,91.1045302263542,0.218125265893811,"Gm37065",0
"Slamf6","OK",0,92.7290801019085,0.223983056312593,"Slamf6",0
"Igsf8","OK",0,41.4460250565906,0.100535274243175,"Igsf8",0
"Tagln2","OK",0,170.857070086238,0.414553763372073,"Tagln2",0
"Slamf8","OK",0,127.377372460974,0.305285038771778,"Slamf8",0
"Fcer1a","OK",0,127.572031645854,0.308111700425169,"Fcer1a",0
"Aim2","OK",0,74.554789445712,0.180889135906733,"Aim2",0
"Ifi213","OK",0,58.8387636528375,0.139253844034932,"Ifi213",0
"Ifi209","OK",0,203.606379914391,0.494097737926725,"Ifi209",0
"Ifi207","OK",0,147.271784762763,0.354002641588999,"Ifi207",0
"Ifi204","OK",0,106.402061493395,0.257462124915986,"Ifi204",0
"Mndal","OK",0,81.9630687549364,0.198890823394273,"Mndal",0
"Ifi211","OK",0,115.052529994425,0.278004892947793,"Ifi211",0
"Ifi203","OK",0,114.52309050661,0.277926012745787,"Ifi203",0
"Ifi205","OK",0,281.174738571461,0.674990379739449,"Ifi205",0
"Olfr433","OK",0,65.600723152219,0.153328166983533,"Olfr433",0
"Spta1","OK",0,120.732293368169,0.292826183216477,"Spta1",0
"Fh1","OK",0,88.9850979988701,0.21593165059836,"Fh1",0
"Kmo","OK",0,79.2987965559012,0.19212116349658,"Kmo",0
"Exo1","OK",0,120.548251477642,0.292544179144904,"Exo1",0
"Zbtb18","OK",0,38.6033655855753,0.0936326925807376,"Zbtb18",0
"Adss","OK",0,42.4908140592917,0.103072078435336,"Adss",0
"Hnrnpu","OK",0,75.1349907752808,0.18220723445089,"Hnrnpu",0
"Ahctf1","OK",0,53.9098315470034,0.130794314032557,"Ahctf1",0
"Psen2","OK",0,46.756866772354,0.113430167342019,"Psen2",0
"Parp1","OK",0,68.1876823097003,0.165446895679032,"Parp1",0
"Lin9","OK",0,40.2980107516557,0.0977483523443669,"Lin9",0
"H3f3a","OK",0,194.510014970976,0.47110217381335,"H3f3a",0
"Pycr2","OK",0,50.5667520056442,0.122679268793423,"Pycr2",0
"Lefty1","OK",0,42.8723695876866,0.103979607164045,"Lefty1",0
"Cnih4","OK",0,81.6802444748584,0.198200661773246,"Cnih4",0
"Lbr","OK",0,68.5402356655161,0.166303451414506,"Lbr",0
"Srp9","OK",0,93.5550664396721,0.226978977086921,"Srp9",0
"Degs1","OK",0,40.7458925712222,0.0988388616528831,"Degs1",0
"1700047M11Rik","OK",0,181.653479115258,0.438283138505133,"1700047M11Rik",0
"Capn2","OK",0,56.6831032150114,0.137510254247347,"Capn2",0
"Dusp10","OK",0,61.288358481919,0.148645453205729,"Dusp10",0
"Marc2","OK",0,47.7858748000391,0.115919853881966,"Marc2",0
"Mark1","OK",0,42.1339653368758,0.0925516985122844,"Mark1",0
"Iars2","OK",0,37.8721211294917,0.0918635684313612,"Iars2",0
"Eprs","OK",0,74.542463075795,0.180865277868621,"Eprs",0
"Rrp15","OK",0,85.3350293074088,0.207075538795052,"Rrp15",0
"Cenpf","OK",0,239.367849442271,0.580958268420788,"Cenpf",0
"Ptpn14","OK",0,107.231539292334,0.260093543947939,"Ptpn14",0
"Smyd2","OK",0,63.6356036097643,0.154403139034648,"Smyd2",0
"Nsl1","OK",0,65.1839954216422,0.158136005727093,"Nsl1",0
"Batf3","OK",0,304.281036088423,0.732365129871835,"Batf3",0
"Nenf","OK",0,54.0637837190806,0.131167139890975,"Nenf",0
"Ppp2r5a","OK",0,40.8009977638296,0.0989717888926122,"Ppp2r5a",0
"Dtl","OK",0,107.430697867451,0.260712030890467,"Dtl",0
"Lpgat1","OK",0,44.9010070566877,0.108923332941723,"Lpgat1",0
"Nek2","OK",0,130.637101889259,0.316993590511332,"Nek2",0
"Traf3ip3","OK",0,79.2065208960296,0.192198325847439,"Traf3ip3",0
"Hsd11b1","OK",0,212.24029487144,0.514947581208238,"Hsd11b1",0
"G0s2","OK",0,188.018739795552,0.456054146321656,"G0s2",0
"Cd34","OK",0,263.237667759037,0.63892119292908,"Cd34",0
"Suv39h2","OK",0,40.1002814749371,0.097261546464515,"Suv39h2",0
"Hspa14","OK",0,83.5770116884076,0.202805222530314,"Hspa14",0
"Fam107b","OK",0,162.544555216543,0.39449691465771,"Fam107b",0
"Phyh","OK",0,37.7819160827602,0.0916397678068946,"Phyh",0
"Mcm10","OK",0,138.810618067862,0.336872901377558,"Mcm10",0
"Optn","OK",0,175.349977400559,0.425569594504987,"Optn",0
"Camk1d","OK",0,61.7975830826688,0.149877595265882,"Camk1d",0
"Cdc123","OK",0,60.8565562645758,0.147654888934187,"Cdc123",0
"Nudt5","OK",0,74.8663102129879,0.181656867338972,"Nudt5",0
"Proser2","OK",0,192.000562132447,0.465830860506089,"Proser2",0
"Celf2","OK",0,115.560592273758,0.280421080621604,"Celf2",0
"Atp5c1","OK",0,121.539860342293,0.294825658322117,"Atp5c1",0
"Itih5","OK",0,91.5484413363889,0.222135448221062,"Itih5",0
"Prkcq","OK",0,189.81596357257,0.460677622492567,"Prkcq",0
"Rbm17","OK",0,55.4368461376018,0.134495905704798,"Rbm17",0
"Rsu1","OK",0,148.297358065222,0.359882415271792,"Rsu1",0
"Vim","OK",0,243.309542720771,0.59053395039284,"Vim",0
"St8sia6","OK",0,115.259023846213,0.279668266299242,"St8sia6",0
"Hacd1","OK",0,74.242195214394,0.180149221861064,"Hacd1",0
"Plxdc2","OK",0,48.4459931520555,0.117498042198865,"Plxdc2",0
"Commd3","OK",0,49.9723695174396,0.121230899914919,"Commd3",0
"Pip4k2a","OK",0,53.5358271950215,0.129886035114994,"Pip4k2a",0
"Apbb1ip","OK",0,57.3348180577179,0.13910694752501,"Apbb1ip",0
"Pdss1","OK",0,39.1793902594257,0.0950311373473193,"Pdss1",0
"Mastl","OK",0,45.2282607525947,0.109683548498991,"Mastl",0
"Hnmt","OK",0,39.9082878142021,0.0967750636851087,"Hnmt",0
"Il1f9","OK",0,172.803153330532,0.417116424614501,"Il1f9",0
"Il1rn","OK",0,72.0176963362726,0.173083453117336,"Il1rn",0
"Zmynd19","OK",0,79.6386965548699,0.193248730045912,"Zmynd19",0
"Mrpl41","OK",0,67.1911949938111,0.163031877966869,"Mrpl41",0
"Tubb4b","OK",0,170.767235088719,0.414419325871483,"Tubb4b",0
"Ssna1","OK",0,71.0023571391573,0.172278068162746,"Ssna1",0
"Uap1l1","OK",0,50.8875715165433,0.123454836224112,"Uap1l1",0
"Sapcd2","OK",0,119.018491353668,0.288786612919227,"Sapcd2",0
"Fut7","OK",0,115.223456694842,0.27960826065127,"Fut7",0
"Abca2","OK",0,44.3912232841336,0.107686238675076,"Abca2",0
"Edf1","OK",0,81.8252274550307,0.198525971317326,"Edf1",0
"Rabl6","OK",0,38.9255160065443,0.0944212007187341,"Rabl6",0
"Tmem141","OK",0,73.2051451685742,0.177614102445578,"Tmem141",0
"Bmyc","OK",0,84.8509193742329,0.205901458566409,"Bmyc",0
"Ubac1","OK",0,79.7790888550655,0.19358893769743,"Ubac1",0
"Dnlz","OK",0,40.1140120989233,0.0973061123855243,"Dnlz",0
"Card9","OK",0,83.7767105818586,0.203266584042867,"Card9",0
"Notch1","OK",0,130.414127662066,0.316450375508591,"Notch1",0
"Egfl7","OK",0,101.734713956348,0.246884623594717,"Egfl7",0
"Agpat2","OK",0,44.816767555627,0.108720948522131,"Agpat2",0
